c_x,c_y,c_psi_degree,psi_unity_degree,c_speed_kmh,steering_angle,throttle,a0,a1,a2,a3,cte,epsi,delta_position,global_x_1,global_x_2,global_x_3,global_x_4,global_x_5,global_x_6,global_y_1,global_y_2,global_y_3,global_y_4,global_y_5,global_y_6,veh_x_1,veh_x_2,veh_x_3,veh_x_4,veh_x_5,veh_x_6,veh_y_1,veh_y_2,veh_y_3,veh_y_4,veh_y_5,veh_y_6,
-40.62,108.73,213.922,236.078,0,0,0,0.744287,0.0021447,0.00135139,-9.85155e-07,0.744287,-0.0021447,-0.711665,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.87754,0.711665,1.72438,3.86947,6.74423,10.7776,
-40.62,108.73,213.922,236.078,7.04895,-8.44232,100,0.744287,0.0021447,0.00135139,-9.85155e-07,0.744287,-0.0021447,-0.711665,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.87754,0.711665,1.72438,3.86947,6.74423,10.7776,
-40.6412,108.713,213.932,236.068,1.31662,-9.36329,100,0.742071,0.00204861,0.0013513,-9.85596e-07,0.742071,-0.00204861,-0.708729,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.62997,3.91244,25.8017,47.9749,67.6943,88.1489,0.876892,0.708729,1.71774,3.85909,6.73051,10.7604,
-40.709,108.657,214.244,235.756,2.35006,-9.36329,100,0.734078,-0.00317352,0.00135081,-9.99836e-07,0.734078,0.00317351,-0.679662,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.71231,3.82899,25.7234,47.9079,67.6427,88.119,0.921615,0.679662,1.56938,3.58988,6.35381,10.2722,
-40.827,108.559,214.757,235.243,3.81019,-9.36329,100,0.719116,-0.0117238,0.00135022,-1.02331e-06,0.719116,0.0117232,-0.632136,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.8565,3.68209,25.5836,47.7853,67.544,88.0546,0.995245,0.632136,1.32591,3.14782,5.73506,9.47008,
-41.0645,108.357,215.768,234.232,6.28699,-9.36329,100,0.685008,-0.0285683,0.00134988,-1.07002e-06,0.685008,0.0285605,-0.541606,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.1485,3.38156,25.2919,47.5223,67.3236,87.8969,1.14359,0.541606,0.848756,2.27856,4.5167,7.88916,
-41.3523,108.102,217.016,232.984,8.8987,-9.36329,100,0.636331,-0.0493817,0.00135105,-1.1287e-06,0.636331,0.0493416,-0.437553,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.5044,3.00931,24.9212,47.1774,67.0227,87.6646,1.33408,0.437553,0.267417,1.2127,3.01903,5.9426,
-41.7407,107.74,218.742,231.258,12.0537,-9.36329,100,0.556835,-0.0782262,0.00135555,-1.21238e-06,0.556835,0.0780672,-0.307617,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.9889,2.49176,24.3886,46.6632,66.5539,87.2744,1.61059,0.307617,-0.522131,-0.24733,0.960702,3.2615,
-42.2339,107.253,220.885,229.115,15.3041,-4.44837,100,0.43416,-0.114143,0.00136575,-1.32196e-06,0.43416,0.113651,-0.168851,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-11.6126,1.80989,23.6603,45.9297,65.8516,86.6437,1.97504,0.168851,-1.47917,-2.03755,-1.57421,-0.0498873,
-43.1476,106.353,223.049,226.951,19.784,2.77638,81.3346,0.209003,-0.149092,0.00137898,-1.44104e-06,0.209003,0.148002,-0.0661701,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-12.812,0.532714,22.3053,44.5377,64.4629,85.2977,2.37805,0.0661701,-2.40599,-3.80511,-4.09456,-3.35667,
