c_x,c_y,c_psi_degree,psi_unity_degree,c_speed_kmh,steering_angle,throttle,a0,a1,a2,a3,cte,epsi,delta_position,cost_1,cost_2,cost_3,cost_4,global_x_1,global_x_2,global_x_3,global_x_4,global_x_5,global_x_6,global_y_1,global_y_2,global_y_3,global_y_4,global_y_5,global_y_6,veh_x_1,veh_x_2,veh_x_3,veh_x_4,veh_x_5,veh_x_6,veh_y_1,veh_y_2,veh_y_3,veh_y_4,veh_y_5,veh_y_6,
-40.62,108.73,213.922,236.078,1.40981,0,0,0.744287,0.0021447,0.00135139,-9.85155e-07,0.744287,-0.0021447,-0.711665,1.44329e-15,0.196598,0.000144644,0.196547,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.87754,0.711665,1.72438,3.86947,6.74423,10.7776,
-40.62,108.73,213.922,236.078,9.86845,-9.36329,100,0.744292,0.00214473,0.00135139,-9.85155e-07,0.744292,-0.00214472,-0.711671,-3.33067e-16,0.196598,0.000144644,0.196547,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60305,3.93939,25.8285,48.0013,67.7202,88.1742,0.877545,0.711671,1.72438,3.86948,6.74423,10.7776,
-40.6556,108.701,214.05,235.95,3.02284,-9.36329,100,0.740344,3.82593e-05,0.00135115,-9.90967e-07,0.740344,-3.82593e-05,-0.698943,4.66294e-15,0.196639,-8.33773e-05,0.196669,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.64665,3.89539,25.7867,47.9642,67.6895,88.1524,0.894962,0.698943,1.66293,3.75866,6.58952,10.5773,
-40.7717,108.605,214.54,235.46,3.17571,-9.36329,100,0.72611,-0.00812767,0.00135046,-1.01337e-06,0.72611,0.00812749,-0.652527,3.9968e-15,0.196798,0.000143632,0.196747,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.78864,3.75123,25.65,47.8446,67.5934,88.0897,0.964417,0.652527,1.42915,3.33504,5.997,9.80959,
-40.9513,108.454,215.318,234.682,5.18756,-9.36329,100,0.701597,-0.0210955,0.00134992,-1.04915e-06,0.701597,0.0210923,-0.581822,-2.77556e-15,0.197057,-8.22335e-05,0.197087,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.0087,3.5257,25.433,47.6514,67.4345,87.9807,1.07748,0.581822,1.06111,2.66554,5.05918,8.59318,
-41.2629,108.182,216.661,233.339,8.20878,-9.36329,100,0.651762,-0.0434828,0.00135057,-1.11186e-06,0.651762,0.0434554,-0.466686,9.99201e-16,0.197529,-8.1059e-05,0.197558,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.3933,3.12576,25.0383,47.2882,67.122,87.7453,1.27943,0.466686,0.432383,1.51562,3.44493,6.4964,
-41.7718,107.709,218.918,231.082,12.391,-9.36329,100,0.548684,-0.0812138,0.00135624,-1.22115e-06,0.548684,0.081036,-0.295183,8.32667e-16,0.198385,-7.91969e-05,0.198414,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-11.0276,2.44892,24.3431,46.6184,66.5128,87.2403,1.63971,0.295183,-0.602068,-0.395942,0.750762,2.98767,
-43.3723,105.972,226.14,223.86,21.257,-3.4864,100,0.0215465,-0.20354,0.00141394,-1.63048e-06,0.0215465,0.200797,0.0647023,-1.15047e-14,0.201697,0.000127784,0.20165,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-13.0956,0.105033,21.7127,43.8373,63.7179,84.5622,2.96328,-0.0647023,-3.70712,-6.30283,-7.66611,-8.05257,
-44.5833,104.583,228.11,221.89,25.3062,9.36329,35.8073,-0.488939,-0.226979,0.00124142,-4.24427e-07,-0.488939,0.223197,4.47731,-7.27196e-15,0.0593331,-0.000114212,0.0593255,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-1.73985,19.7298,41.7521,61.5741,82.3928,105.633,-0.0942132,-4.47731,-7.83209,-9.87802,-10.9809,-11.1187,
-46.8801,102.63,219.696,230.304,26.3803,9.36329,22.2562,-0.734134,-0.0696797,0.00116341,-2.00743e-08,-0.734134,0.0695673,1.57741,-1.66533e-16,0.0597979,0.000187208,0.059811,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-4.7216,17.1583,39.4345,59.3425,80.0985,103.108,-0.383078,-1.57741,-1.67363,-0.797053,1.15832,4.42255,
