c_x,c_y,c_psi_degree,psi_unity_degree,c_speed_kmh,steering_angle,throttle,a0,a1,a2,a3,cte,epsi,global_x_1,global_x_2,global_x_3,global_x_4,global_x_5,global_x_6,global_y_1,global_y_2,global_y_3,global_y_4,global_y_5,global_y_6,veh_x_1,veh_x_2,veh_x_3,veh_x_4,veh_x_5,veh_x_6,veh_y_1,veh_y_2,veh_y_3,veh_y_4,veh_y_5,veh_y_6,
-40.62,108.73,213.922,236.078,0,0,0,0.744287,0.00214534,0.00135139,-9.85153e-07,0.744287,-0.00214534,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.877534,0.711668,1.72439,3.8695,6.74427,10.7777,
-40.62,108.73,213.922,236.078,7.75383,-8.44232,100,0.744287,0.00214534,0.00135139,-9.85153e-07,0.744287,-0.00214534,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.60304,3.9394,25.8285,48.0013,67.7202,88.1742,0.877534,0.711668,1.72439,3.8695,6.74427,10.7777,
-40.6404,108.714,214.014,235.986,1.51233,-9.36329,100,0.742143,0.000607267,0.00135123,-9.89346e-07,0.742143,-0.000607267,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.62773,3.91443,25.8051,47.9813,67.7048,88.1653,0.89079,0.703175,1.68074,3.79024,6.63334,10.6339,
-40.7674,108.609,214.58,235.42,3.14271,-9.36329,100,0.726542,-0.0088369,0.00135046,-1.01519e-06,0.726542,0.00883667,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-9.78252,3.75713,25.6564,47.8524,67.603,88.1019,0.97158,0.650302,1.41174,3.30224,5.95051,9.74889,
-40.9701,108.438,215.429,234.571,5.48811,-9.36329,100,0.698625,-0.0229746,0.00134993,-1.0543e-06,0.698625,0.0229706,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.0314,3.50196,25.4101,47.6317,67.4193,87.9723,1.09448,0.572531,1.00927,2.57053,4.92574,8.41984,
-41.2619,108.182,216.688,233.312,8.31969,-9.36329,100,0.651519,-0.0439576,0.00135064,-1.11314e-06,0.651519,0.0439293,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.3916,3.12706,25.0395,47.29,67.1246,87.7494,1.28401,0.464909,0.4203,1.49307,3.41305,6.45482,
-41.7275,107.751,218.751,231.249,12.1914,-9.36329,100,0.558021,-0.0784383,0.00135565,-1.21285e-06,0.558021,0.078278,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-10.9718,2.5086,24.4053,46.6799,66.5708,87.2917,1.61227,0.307066,-0.526303,-0.255186,0.949557,3.24693,
-43.3851,105.943,226.502,223.498,21.2007,-4.28321,100,0.00451301,-0.210053,0.00141899,-1.65451e-06,0.00451301,0.207043,-32.1617,-43.4917,-61.09,-78.2917,-93.05,-107.772,113.361,105.941,92.885,78.731,65.341,50.5794,-13.1066,0.0746361,21.6588,43.7665,63.6382,84.4796,3.03526,-0.0761868,-3.85525,-6.5909,-8.07994,-8.59829,
-44.4819,104.621,229.301,220.699,25.7947,9.36329,36.7691,-0.520171,-0.249144,0.00125939,-4.86767e-07,-0.520171,0.244173,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-1.64678,19.7272,41.6749,61.4502,82.2414,105.473,-0.110418,-4.93881,-8.7506,-11.2081,-12.7434,-13.3643,
-46.6025,102.631,222.376,227.624,27.2071,9.36329,23.752,-0.900237,-0.117266,0.00117861,-1.45725e-07,-0.900237,0.116733,-43.4917,-61.09,-78.2917,-93.05,-107.772,-123.392,105.941,92.885,78.731,65.341,50.5794,33.371,-4.52917,17.271,39.5183,59.4455,80.2702,103.408,-0.348833,-2.56482,-3.70242,-3.75756,-2.77474,-0.589875,
